"price","mileage","year","model","date","origin","website_id","car_id","perthousand_mileage","predicted","residuals"
11309,50942,"2013","Scion xB","2020-12-17","autotrader",1,1,50.942,10877.6106554555,431.389344544522
3995,303808,"2012","Scion xB","2020-12-17","autotrader",1,1,303.808,1714.47342001983,2280.52657998015
9990,76849,"2010","Scion xB","2020-12-17","cars",2,1,76.849,9053.22241611486,936.777583885126
6995,122861,"2012","Scion xB Base","2020-12-17","cars",2,1,122.861,7814.25893381203,-819.258933812048
10434,81591,"2014","Scion xB","2020-12-17","cars",2,1,81.591,10472.2798781347,-38.2798781347626
8491,63103,"2013","Scion xB Base","2020-12-17","cars",2,1,63.103,10467.659168925,-1976.65916892502
7994,119607,"2011","Scion xB Release Series 8.0","2020-12-17","cars",2,1,119.607,7885.57796910765,108.422030892334
7995,110586,"2013","Scion xB Base","2020-12-17","cars",2,1,110.586,8866.99093153286,-871.990931532882
6988,108000,"2012","Scion xB 5-SPD","2020-12-17","cars",2,1,108,8315.22834762086,-1327.22834762087
6900,100929,"2008","Scion xB","2020-12-17","cars",2,1,100.929,7144.98476488829,-244.984764888301
10351,91104,"2012","Scion xB","2020-12-17","cars",2,1,91.104,8884.79831032283,1466.20168967716
10900,87109,"2014","Scion xB Base","2020-12-17","cars",2,1,87.109,10286.2662030525,613.733796947473
9495,90910,"2013","Scion xB","2020-12-17","cars",2,1,90.91,9530.27564898811,-35.2756489881337
8995,91322,"2013","Scion xB","2020-12-17","cars",2,1,91.322,9516.3869874923,-521.386987492323
8800,83000,"2013","Scion xB 5-SPD","2020-12-17","cars",2,1,83,9796.9244655703,-996.924465570316
11922,138065,"2014","Scion xB","2020-12-17","cars",2,1,138.065,8568.52194290564,3353.47805709434
8995,85079,"2012","Scion xB","2020-12-17","cars",2,1,85.079,9087.90312952733,-92.9031295273508
2990,191265,"2004","Scion xB","2020-12-17","cars",2,1,191.265,2990,0.00000000000222755147660791
6999,139916,"2012","Scion xB","2020-12-17","cars",2,1,139.916,7239.32902650367,-240.329026503687
11795,47515,"2015","Scion xB","2020-12-17","cars",2,1,47.515,12901.892635013,-1106.89263501306
10599,92536,"2013","Scion xB","2020-12-17","cars",2,1,92.536,9475.46263056047,1123.53736943951
8491,81853,"2014","Scion xB Base","2020-12-17","cars",2,1,81.853,10463.4477681544,-1972.44776815442
12952,48328,"2015","Scion xB","2020-12-17","cars",2,1,48.328,12874.4861257992,77.5138742007588
12895,41780,"2015","Scion xB","2020-12-17","cars",2,1,41.78,13095.221454621,-200.221454621004
8998,77811,"2011","Scion xB","2020-12-17","cars",2,1,77.811,9294.53548337679,-296.53548337681
9950,92121,"2014","Scion xB","2020-12-17","cars",2,1,92.121,10117.3099617491,-167.309961749126
9900,25100,"2012","Scion xB Release Series 9.0","2020-12-17","cars",2,1,25.1,11109.8158185011,-1209.81581850115
15705,75677,"2015","Scion xB","2020-12-17","cars",2,1,75.677,11952.5419431562,3752.45805684376
10797,40395,"2012","Scion xB W/CERTIFIED PROTECTION","2020-12-17","cars",2,1,40.395,10594.2161156409,202.783884359088
7995,133177,"2013","Scion xB Base","2020-12-17","cars",2,1,133.177,8105.44056296041,-110.44056296043
5888,132986,"2011","Scion xB Release Series 8.0","2020-12-17","cars",2,1,132.986,7434.56728427162,-1546.56728427163
8988,88438,"2015","Scion xB Base","2020-12-17","cars",2,1,88.438,11522.3642505639,-2534.36425056392
11309,50942,"2013","Scion xB MONO","2020-12-17","cars",2,1,50.942,10877.6106554555,431.389344544522
8699,82487,"2013","Scion xB","2020-12-17","cars",2,1,82.487,9814.21787175318,-1115.21787175321
6995,115962,"2012","Scion xB","2020-12-17","cars",2,1,115.962,8046.82659317998,-1051.82659318
8998,117681,"2012","Scion xB Base","2020-12-17","cars",2,1,117.681,7988.87851281275,1009.12148718723
9888,89017,"2014","Scion xB","2020-12-17","cars",2,1,89.017,10221.9468677758,-333.946867775813
6985,140659,"2012","Scion xB 4-SPD","2020-12-17","cars",2,1,140.659,7214.2822413304,-229.282241330418
5985,120000,"2006","Scion xB","2020-12-17","cars",2,1,120,6354.63061979289,-369.630619792906
5355,162636,"2010","Scion xB","2020-12-17","cars",2,1,162.636,6161.3131837336,-806.313183733618
8421,71889,"2010","Scion xB","2020-12-17","cars",2,1,71.889,9220.42571955956,-799.425719559582
5991,138901,"2009","Scion xB","2020-12-17","cars",2,1,138.901,6539.49042179482,-548.490421794835
5998,119673,"2008","Scion xB","2020-12-17","cars",2,1,119.673,6513.11808751579,-515.118087515805
8495,127257,"2013","Scion xB 4-SPD","2020-12-17","cars",2,1,127.257,8305.00579610409,189.99420389589
7429,106573,"2008","Scion xB","2020-12-17","cars",2,1,106.573,6954.72358653306,474.276413466926
6995,124166,"2009","Scion xB","2020-12-17","cars",2,1,124.166,7036.21233233066,-41.2123323306716
9316,81499,"2013","Scion xB Base","2020-12-17","cars",2,1,81.499,9847.52369106838,-531.523691068403
8995,72036,"2010","Scion xB","2020-12-17","cars",2,1,72.036,9215.47029907441,-220.470299074426
6490,119937,"2010","Scion xB","2020-12-17","cars",2,1,119.937,7600.71113812584,-1110.71113812586
8995,96791,"2009","Scion xB","2020-12-17","cars",2,1,96.791,7959.032983903,1035.96701609698
8599,123319,"2012","Scion xB","2020-12-17","cars",2,1,123.319,7798.81959651815,800.180403481839
14500,39704,"2015","Scion xB","2020-12-17","cars",2,1,39.704,13165.204127595,1334.79587240496
9590,91460,"2014","Scion xB Base","2020-12-17","cars",2,1,91.46,10139.5924987606,-549.592498760609
8000,78750,"2012","Scion xB Base","2020-12-17","cars",2,1,78.75,9301.25589313652,-1301.25589313653
